match_id,player_slot,radiant_win,win,duration,game_mode,lobby_type,hero_id,start_time,kills,deaths,assists,gold_per_min,xp_per_min,last_hits,denies,hero_damage,tower_damage,hero_healing,level,net_worth,obs_placed,sen_placed,kda_ratio,cs_per_min,denies_per_min,average_rank,leaver_status,party_size,hero_variant
8364702814,3,1,1,2991,22,7,9,2025-07-07 04:33:30,10,13,30,437,707,94,0,31942,1852,0,25,18295,0,0,3.076923076923077,1.8856569709127382,0.0,43,0,0,3
8361853819,129,1,0,3261,22,7,9,2025-07-05 05:54:51,7,9,27,370,589,129,0,22080,521,240,24,16296,0,0,3.7777777777777777,2.373505059797608,0.0,41,0,0,3
8360444733,0,0,0,2270,22,7,9,2025-07-04 03:39:02,7,10,12,367,497,73,0,19391,48,332,18,11146,0,0,1.9,1.9295154185022025,0.0,44,0,0,3
8360340308,131,1,0,2163,22,7,9,2025-07-04 00:25:02,3,10,14,292,359,41,0,14931,227,192,15,8261,0,0,1.7,1.1373092926490986,0.0,45,0,0,3
8358967132,132,1,0,2188,22,7,9,2025-07-02 21:00:04,4,9,22,358,634,68,0,20557,298,237,20,11166,0,0,2.888888888888889,1.8647166361974405,0.0,45,0,0,3
8357987625,131,0,1,2262,22,7,9,2025-07-02 04:28:34,1,7,33,420,674,76,1,20906,1653,723,21,13253,0,0,4.857142857142857,2.0159151193633953,0.02652519893899204,42,0,0,3
8355252638,132,0,1,1317,22,7,9,2025-06-29 22:32:29,14,4,21,508,490,57,0,17814,2401,0,13,11028,0,0,8.75,2.5968109339407746,0.0,44,0,0,3
8355206135,128,0,1,1843,22,7,9,2025-06-29 21:31:39,12,1,24,462,703,64,0,21105,3413,2140,20,13326,0,0,36.0,2.083559413998915,0.0,45,0,0,3
8355080692,130,1,0,3512,22,7,9,2025-06-29 19:29:58,6,12,43,416,787,125,0,39112,1875,497,27,18649,0,0,4.083333333333333,2.135535307517084,0.0,45,0,0,3
8351209522,2,1,1,2557,22,7,25,2025-06-27 03:28:14,6,7,14,469,603,196,0,27473,2470,0,21,17304,0,0,2.857142857142857,4.599139616738365,0.0,35,0,0,2
8351186314,0,0,0,2086,22,7,5,2025-06-27 02:47:38,4,14,14,358,506,68,2,15569,62,0,18,9248,0,0,1.2857142857142858,1.9558964525407478,0.05752636625119847,35,0,0,3
8351132918,128,0,1,1845,22,7,9,2025-06-27 01:10:23,8,4,34,463,628,72,0,21932,2504,560,18,13006,0,0,10.5,2.341463414634146,0.0,41,0,0,3
8351105353,2,1,1,2177,22,7,9,2025-06-27 00:12:43,12,5,29,408,489,32,1,26329,1350,976,18,12897,0,0,8.2,0.88194763435921,0.02756086357372531,44,0,0,3
8348751301,131,0,1,2470,22,7,9,2025-06-25 05:04:17,10,11,36,421,596,81,0,24372,2157,352,21,14469,0,0,4.181818181818182,1.9676113360323888,0.0,41,0,0,3
8344625385,0,1,1,1969,22,7,9,2025-06-22 02:03:20,4,4,37,379,638,37,0,19990,4299,721,19,11441,0,0,10.25,1.1274758760792278,0.0,44,0,0,3
8341907724,130,1,0,2258,22,7,5,2025-06-20 03:57:21,0,19,18,289,462,55,0,22004,315,0,17,7264,0,0,0.9473684210526315,1.4614703277236494,0.0,44,0,0,3
8341757496,128,0,1,2603,22,7,5,2025-06-19 23:12:15,5,10,27,398,732,56,0,18888,1133,0,24,14336,0,0,3.2,1.2908182865923934,0.0,44,0,0,3
8341734948,131,0,1,1958,22,7,5,2025-06-19 22:33:05,7,4,25,410,665,57,0,22322,1161,0,20,11101,0,0,8.0,1.7466802860061288,0.0,43,0,0,3
8340496717,1,1,1,1833,22,7,5,2025-06-18 23:56:19,11,6,20,437,535,47,0,15592,2282,0,17,11410,0,0,5.166666666666667,1.5384615384615383,0.0,44,0,0,3
8340466795,3,1,1,3020,22,7,9,2025-06-18 22:59:54,10,7,47,480,897,146,0,40418,2372,1295,27,21102,0,0,8.142857142857142,2.900662251655629,0.0,42,0,0,3
8335328311,2,1,1,1863,22,7,9,2025-06-15 04:52:06,10,10,23,369,356,33,0,11561,2322,944,14,10234,0,0,3.3,1.0628019323671498,0.0,41,0,0,3
8335295804,132,0,1,2266,22,7,9,2025-06-15 04:07:27,3,9,31,378,807,49,1,23463,1351,828,23,11883,0,0,3.7777777777777777,1.297440423654016,0.0264783759929391,35,0,0,3
8331192218,129,1,0,2782,22,7,91,2025-06-12 05:03:39,2,9,11,221,369,30,1,5000,16,13465,17,8487,0,0,1.4444444444444444,0.6470165348670022,0.021567217828900073,44,0,0,1
8329717124,2,0,0,2819,22,7,9,2025-06-10 22:29:58,5,13,37,386,696,67,0,21827,632,0,24,13672,0,0,3.230769230769231,1.42603760198652,0.0,52,0,0,3
8329687361,3,1,1,2194,22,7,5,2025-06-10 21:44:44,6,8,31,356,658,24,0,16654,1687,0,21,11099,0,0,4.625,0.6563354603463992,0.0,51,0,0,3
8327296474,128,1,0,2562,22,7,89,2025-06-09 01:48:13,5,9,8,419,528,247,1,20669,813,0,20,16244,0,0,1.4444444444444444,5.784543325526932,0.023419203747072598,35,0,0,1
8327277203,128,1,0,1915,22,7,5,2025-06-09 01:11:13,2,18,4,202,266,35,1,13416,115,0,12,4413,0,0,0.3333333333333333,1.0966057441253263,0.031331592689295036,41,0,0,3
8327255003,0,0,0,2295,22,7,136,2025-06-09 00:28:48,4,19,6,278,333,36,0,10067,130,11,15,8714,0,0,0.5263157894736842,0.9411764705882353,0.0,35,0,0,5
8327235857,0,0,0,1675,22,7,9,2025-06-08 23:52:13,1,9,6,256,271,68,0,14341,220,0,11,5380,0,0,0.7777777777777778,2.435820895522388,0.0,35,0,0,3
8327215838,128,1,0,1782,22,7,9,2025-06-08 23:17:03,1,9,7,298,335,46,0,9752,0,0,13,7305,0,0,0.8888888888888888,1.5488215488215489,0.0,35,0,0,3
8327008979,129,1,0,2689,22,7,9,2025-06-08 19:17:58,8,5,25,417,654,100,0,23366,1743,0,23,16185,0,0,6.6,2.231312755671253,0.0,41,0,0,3
8326941059,3,0,0,1751,22,7,5,2025-06-08 18:21:19,4,13,7,245,249,39,1,14215,256,0,11,4705,0,0,0.8461538461538461,1.3363792118789264,0.034266133637921185,41,0,0,3
8325877641,129,0,1,1346,22,7,9,2025-06-08 03:44:43,8,3,21,449,472,48,0,11300,3412,444,13,9656,0,0,9.666666666666666,2.139673105497771,0.0,45,0,0,3
8324492548,131,1,0,1901,22,7,9,2025-06-07 06:17:53,4,8,13,319,398,59,0,14650,256,0,15,8021,0,0,2.125,1.8621778011572856,0.0,44,0,0,3
8324447609,3,1,1,3061,22,7,9,2025-06-07 05:20:38,13,14,30,490,1045,85,0,49172,3110,3722,28,21263,0,0,3.0714285714285716,1.6661221822933683,0.0,44,0,0,3
8322996405,3,0,0,2913,22,7,9,2025-06-06 02:38:44,6,12,32,338,480,109,0,23266,513,0,20,11359,16,39,3.1666666666666665,2.2451081359423277,0.0,44,0,5,3
8321710871,1,1,1,2899,22,7,9,2025-06-05 01:59:18,10,9,24,421,578,66,0,28136,1402,329,22,17590,0,0,3.7777777777777777,1.3659882718178682,0.0,44,0,0,3
8319266878,3,1,1,2161,22,7,25,2025-06-03 04:50:54,3,10,15,438,448,157,0,21596,5612,0,17,14536,0,0,1.8,4.359093012494216,0.0,42,0,0,2
8316379476,3,1,1,3865,22,7,44,2025-06-01 03:42:39,7,24,25,512,892,221,0,41886,4087,0,29,25397,0,0,1.3333333333333333,3.4307891332470892,0.0,43,0,0,3
8303731668,128,0,1,2142,22,7,44,2025-05-23 01:06:05,12,13,17,530,636,129,0,25343,5568,0,20,17767,0,0,2.230769230769231,3.61344537815126,0.0,45,0,0,3
8299054717,130,0,1,2479,22,7,9,2025-05-19 04:02:29,12,6,25,454,711,91,0,33594,1970,1167,23,17514,0,0,6.166666666666667,2.2025010084711574,0.0,41,0,0,3
8294760151,131,1,0,1824,22,7,22,2025-05-16 00:40:43,4,18,7,318,348,32,0,14550,156,0,13,7995,0,0,0.6111111111111112,1.0526315789473684,0.0,42,0,0,2
8282208523,131,1,0,1823,22,7,91,2025-05-06 01:13:09,0,10,2,192,190,19,0,2030,42,2652,9,4552,0,0,0.2,0.6253428414701042,0.0,41,0,0,1
8282189603,129,1,0,2234,22,7,91,2025-05-06 00:30:33,1,16,17,236,341,17,0,2466,279,4811,15,5348,0,0,1.125,0.4565801253357207,0.0,41,0,3,1
8282167461,1,0,0,2395,22,7,91,2025-05-05 23:38:39,3,15,22,279,399,31,0,8139,405,5569,17,8018,0,0,1.6666666666666667,0.7766179540709812,0.0,35,0,0,1
