match_id,player_slot,radiant_win,win,duration,game_mode,lobby_type,hero_id,start_time,kills,deaths,assists,gold_per_min,xp_per_min,last_hits,denies,hero_damage,tower_damage,hero_healing,level,net_worth,obs_placed,sen_placed,kda_ratio,cs_per_min,denies_per_min,average_rank,leaver_status,party_size,hero_variant
8364702814,0,1,1,2991,22,7,18,2025-07-07 04:33:30,6,13,22,559,823,304,5,37322,3048,187,26,24830,0,0,2.1538461538461537,6.098294884653962,0.10030090270812438,43,0,0,2
8361853819,128,1,0,3261,22,7,23,2025-07-05 05:54:51,4,10,16,525,683,364,2,16591,7011,0,25,25636,0,0,2.0,6.697332106715731,0.03679852805887764,41,0,0,1
8360444733,2,0,0,2270,22,7,137,2025-07-04 03:39:02,4,15,12,320,411,101,3,10033,752,0,16,10900,0,0,1.0666666666666667,2.6696035242290748,0.07929515418502202,44,0,0,3
8357987625,129,0,1,2262,22,7,63,2025-07-02 04:28:34,13,10,10,498,643,129,3,23376,6045,0,21,17564,0,0,2.3,3.421750663129973,0.07957559681697612,42,0,0,1
8351209522,3,1,1,2557,22,7,54,2025-06-27 03:28:14,4,9,8,445,627,203,4,10967,6612,746,22,17035,0,0,1.3333333333333333,4.7633946030504495,0.09385999217833399,35,0,0,4
8351186314,1,0,0,2086,22,7,6,2025-06-27 02:47:38,1,13,8,330,568,55,1,24619,238,0,19,9538,0,0,0.6923076923076923,1.581975071907958,0.028763183125599234,35,0,0,2
8351132918,130,0,1,1845,22,7,41,2025-06-27 01:10:23,15,4,25,754,976,233,18,35926,12818,0,23,22442,0,0,10.0,7.5772357723577235,0.5853658536585366,41,0,0,2
8348751301,130,0,1,2470,22,7,135,2025-06-25 05:04:17,6,15,37,428,545,108,2,23223,4115,4633,20,15981,0,0,2.8666666666666667,2.6234817813765186,0.048582995951417005,41,0,0,3
8341879533,0,0,0,2446,22,7,135,2025-06-20 03:07:16,3,13,14,416,622,169,0,27119,1332,3997,21,13691,0,0,1.3076923076923077,4.145543744889616,0.0,34,0,0,3
8341849170,3,1,1,2852,22,7,135,2025-06-20 02:12:01,7,12,26,486,666,189,3,30696,4329,4675,24,20704,0,0,2.75,3.9761570827489483,0.06311360448807854,34,0,0,3
8335328311,0,1,1,1863,22,7,135,2025-06-15 04:52:06,11,4,20,544,608,147,2,22193,4552,3518,18,16421,0,0,7.75,4.734299516908212,0.0644122383252818,41,0,0,3
