Cuenta;Monto
Ingresos operacionales;81000000
Costo de ventas;45000000
UTILIDAD BRUTA;36000000
Gastos operacionales;40000
UTILIDAD OPERACIONAL;35960000
Gastos financieros;30000
Ingresos no operacionales;6000
UTILIDAD ANTES DE IMPUESTOS;35936000
Provisión para impuestos;12577600
UTILIDAD NETA;23358400
Reserva legal;2335840
UTILIDAD DISPONIBLE PARA SOCIOS;21022560
;
RESOLUCIÓN:;
;
1) Análisis Vertical del Estado de Resultados;
Base Ventas Netas;81000000
Costo de ventas;0.555555556
UTILIDAD BRUTA;0.444444444
Gastos operacionales;0.000493827
UTILIDAD OPERACIONAL;0.443950617
Gastos financieros;0.00037037
Ingresos no operacionales;7.40741E-05
UTILIDAD ANTES DE IMPUESTOS;0.443654321
Provisión para impuestos;0.155279012
UTILIDAD NETA;0.288375309
Reserva legal;0.028837531
UTILIDAD DISPONIBLE PARA SOCIOS;0.259537778
